timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672416286578,652,HTTP Request,200,OK,Thread Group 1-1,text,true,,101667,330,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,555,0,512
1672416286578,563,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,850,188,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,555,0,512
1672416287144,86,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,100817,142,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,24,0,0
1672416286580,663,HTTP Request,200,OK,Thread Group 1-3,text,true,,101667,330,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,564,0,534
1672416286580,565,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,850,188,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,564,0,534
1672416287145,98,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,100817,142,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,29,0,0
1672416286814,453,HTTP Request,200,OK,Thread Group 1-13,text,true,,101667,330,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,319,0,279
1672416286814,336,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,850,188,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,319,0,279
1672416287150,117,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,100817,142,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,28,0,0
1672416286932,341,HTTP Request,200,OK,Thread Group 1-15,text,true,,101667,330,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,220,0,161
1672416286932,220,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,850,188,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,220,0,161
1672416287153,120,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,100817,142,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,30,0,0
1672416286579,669,HTTP Request,200,OK,Thread Group 1-4,text,true,,101665,330,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,565,0,540
1672416286579,566,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,849,188,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,565,0,540
1672416286700,576,HTTP Request,200,OK,Thread Group 1-10,text,true,,101667,330,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,433,0,392
1672416286700,450,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,850,188,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,433,0,392
1672416287150,126,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,100817,142,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,30,0,0
1672416287145,103,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,100816,142,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,25,0,0
1672416286853,401,HTTP Request,200,OK,Thread Group 1-14,text,true,,101665,330,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,296,0,277
1672416286853,296,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,849,188,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,296,0,277
1672416287150,104,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,100816,142,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,27,0,0
1672416286578,707,HTTP Request,200,OK,Thread Group 1-6,text,true,,101665,330,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,580,0,552
1672416286578,580,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,849,188,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,580,0,552
1672416287158,127,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,100816,142,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,23,0,0
1672416286580,743,HTTP Request,200,OK,Thread Group 1-5,text,true,,101667,330,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,593,0,576
1672416286580,593,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,850,188,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,593,0,576
1672416287174,149,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,100817,142,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,34,0,0
1672416286739,602,HTTP Request,200,OK,Thread Group 1-11,text,true,,101667,330,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,478,0,447
1672416286739,478,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,850,188,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,478,0,447
1672416287217,124,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,100817,142,15,15,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,65,0,0
